Benchmark,dotnetcore-netcore-5,mono-net5-jit,mono-net5-jit-llvm,mono-net5-jit-llvm-preemptive,mono-net5-jit-preemptive
System.Memory.Span<Char>.Clear(Size: 512),1.00,1.36,1.36,1.36,1.38,
System.Memory.Span<Char>.Fill(Size: 512),1.00,1.76,1.70,1.69,1.69,
System.Memory.Span<Char>.Reverse(Size: 512),1.00,2.34,2.33,2.39,2.34,
System.Memory.Span<Char>.ToArray(Size: 512),1.00,7.72,8.17,7.70,7.59,
System.Memory.Span<Char>.SequenceEqual(Size: 512),1.00,7.22,6.72,7.14,6.88,
System.Memory.Span<Char>.SequenceCompareTo(Size: 512),1.00,8.36,8.18,8.03,7.95,
System.Memory.Span<Char>.StartsWith(Size: 512),1.00,6.89,6.76,6.65,6.66,
System.Memory.Span<Char>.EndsWith(Size: 512),1.00,6.92,6.73,6.69,6.63,
System.Memory.Span<Char>.IndexOfValue(Size: 512),1.00,7.81,7.81,8.09,7.84,
System.Memory.Span<Char>.IndexOfAnyTwoValues(Size: 512),1.00,6.71,6.61,6.57,6.60,
System.Memory.Span<Char>.IndexOfAnyThreeValues(Size: 512),1.00,5.88,5.88,5.90,5.89,
System.Memory.Span<Char>.IndexOfAnyFourValues(Size: 512),1.00,5.66,5.68,5.67,5.80,
System.Memory.Span<Char>.LastIndexOfValue(Size: 512),1.00,6.27,6.26,6.50,6.40,
System.Memory.Span<Char>.LastIndexOfAnyValues(Size: 512),1.00,4.27,4.25,4.10,4.10,
System.Memory.Span<Char>.BinarySearch(Size: 512),1.00,5.04,5.03,5.07,5.21,
System.Memory.Span<Char>.GetPinnableReference(Size: 512),SMALL,SMALL,SMALL,SMALL,SMALL,
System.Memory.ReadOnlySpan.StringAsSpan,SMALL,SMALL,SMALL,SMALL,SMALL,
System.Memory.ReadOnlySpan.GetPinnableReference,SMALL,SMALL,SMALL,SMALL,SMALL,
System.Memory.ReadOnlySpan.Trim(input: ""),1.00,1.02,1.03,1.02,1.02,
System.Memory.ReadOnlySpan.Trim(input: " abcdefg "),1.00,4.49,4.56,4.69,4.56,
System.Memory.ReadOnlySpan.IndexOfString(input: "5555555555"; value: "5"; comparisonType: InvariantC...,1.00,1.65,1.67,1.67,1.65,
System.Memory.ReadOnlySpan.IndexOfString(input: "ABCDE"; value: "c"; comparisonType: InvariantCultur...,1.00,2.47,2.42,2.42,2.48,
System.Memory.ReadOnlySpan.IndexOfString(input: "Hello Worldbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbareallyr...,1.00,2.83,3.21,3.18,2.80,
System.Memory.ReadOnlySpan.IndexOfString(input: "Hello Worldbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbareally...,1.00,4.15,4.17,4.22,4.12,
System.Memory.ReadOnlySpan.IndexOfString(input: "Hello Worldbbbbbbbbbbbbbbcbbbbbbbbbbbbbbbbbbba!"; v...,1.00,2.49,2.52,2.48,2.48,
System.Memory.ReadOnlySpan.IndexOfString(input: "More Test's"; value: "Tests"; comparisonType: Ordin...,1.00,2.51,2.81,2.83,2.47,
System.Memory.ReadOnlySpan.IndexOfString(input: "StrIng"; value: "string"; comparisonType: OrdinalIg...,1.00,3.93,4.53,4.65,3.91,
System.Memory.ReadOnlySpan.IndexOfString(input: "XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX...,1.00,1.66,1.68,1.68,1.66,
System.Memory.ReadOnlySpan.IndexOfString(input: "XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX...,1.00,5.21,6.06,6.04,5.02,
System.Memory.ReadOnlySpan.IndexOfString(input: "XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX...,1.00,1.63,1.67,1.67,1.63,
System.Memory.ReadOnlySpan.Trim(input: "abcdefg"),1.00,2.79,2.78,2.85,2.92,
System.Memory.ReadOnlySpan.IndexOfString(input: "foobardzsdzs"; value: "rddzs"; comparisonType: Inva...,1.00,4.60,4.67,4.61,4.53,
