Benchmark,dotnetcore_nollvm,mono_aa87d3db6d981426ecca6e2637238c8a211689a8_nollvm,mono_aa87d3db6d981426ecca6e2637238c8a211689a8-interpreter
System.Memory.Span<Char>.Clear(Size: 512),1,1.01,1.04
System.Memory.Span<Char>.Fill(Size: 512),1,1.02,1.02
System.Memory.Span<Char>.Reverse(Size: 512),1,1,1.01
System.Memory.Span<Char>.ToArray(Size: 512),1,1.01,0.95
System.Memory.Span<Char>.SequenceEqual(Size: 512),1,1.03,1.06
System.Memory.Span<Char>.SequenceCompareTo(Size: 512),1,0.97,0.97
System.Memory.Span<Char>.StartsWith(Size: 512),1,1,1.06
System.Memory.Span<Char>.EndsWith(Size: 512),1,0.91,0.93
System.Memory.Span<Char>.IndexOfValue(Size: 512),1,1.03,0.99
System.Memory.Span<Char>.IndexOfAnyTwoValues(Size: 512),1,1.01,1.03
System.Memory.Span<Char>.IndexOfAnyThreeValues(Size: 512),1,1.15,1.04
System.Memory.Span<Char>.IndexOfAnyFourValues(Size: 512),1,0.91,1
System.Memory.Span<Char>.LastIndexOfValue(Size: 512),1,1.01,1.01
System.Memory.Span<Char>.LastIndexOfAnyValues(Size: 512),1,1.01,1.01
System.Memory.Span<Char>.BinarySearch(Size: 512),1,1,1.04
System.Memory.Span<Char>.GetPinnableReference(Size: 512),SMALL,SMALL,SMALL
System.Memory.ReadOnlySpan.StringAsSpan,SMALL,SMALL,SMALL
System.Memory.ReadOnlySpan.GetPinnableReference,SMALL,SMALL,SMALL
"System.Memory.ReadOnlySpan.Trim(input: """")",1,0.98,1
"System.Memory.ReadOnlySpan.Trim(input: "" abcdefg "")",1,1,1.02
"System.Memory.ReadOnlySpan.IndexOfString(input: ""AAAAA5AAAA""; value: ""5""; comparisonType: InvariantC...",1,0.98,1
"System.Memory.ReadOnlySpan.IndexOfString(input: ""AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA...",1,0.96,1.04
"System.Memory.ReadOnlySpan.IndexOfString(input: ""AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA...",1,0.98,1.01
"System.Memory.ReadOnlySpan.IndexOfString(input: ""AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA...",1,1.01,1.03
"System.Memory.ReadOnlySpan.IndexOfString(input: ""ABCDE""; value: ""c""; comparisonType: InvariantCultur...",1,1.1,1.01
"System.Memory.ReadOnlySpan.IndexOfString(input: ""Hello Worldbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbareallyr...",1,1.05,1
"System.Memory.ReadOnlySpan.IndexOfString(input: ""Hello Worldbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbareally...",1,0.9,0.99
"System.Memory.ReadOnlySpan.IndexOfString(input: ""Hello Worldbbbbbbbbbbbbbbcbbbbbbbbbbbbbbbbbbba!""; v...",1,1,1.02
"System.Memory.ReadOnlySpan.IndexOfString(input: ""More Test's""; value: ""Tests""; comparisonType: Ordin...",1,1.02,1.02
