Benchmark,dotnetcore_nollvm,mono_aa87d3db6d981426ecca6e2637238c8a211689a8_nollvm
SeekUnroll.Test(boxedIndex: 1),1.00,1.00,
SeekUnroll.Test(boxedIndex: 3),1.00,1.00,
SeekUnroll.Test(boxedIndex: 11),1.00,1.00,
SeekUnroll.Test(boxedIndex: 19),1.00,1.00,
SeekUnroll.Test(boxedIndex: 27),1.00,1.00,
Benchstone.BenchI.QuickSort.Test,1.00,1.00,
MicroBenchmarks.Serializers.Xml_FromStream<SimpleStructWithProperties>.XmlSerializer_,1.00,1.00,
MicroBenchmarks.Serializers.Xml_FromStream<SimpleStructWithProperties>.DataContractSerializer_,1.00,1.00,
Burgers.Test0,1.00,1.00,
Burgers.Test1,1.00,1.00,
Burgers.Test2,1.00,1.00,
Burgers.Test3,1.00,1.00,
MicroBenchmarks.Serializers.Xml_ToStream<CollectionsOfPrimitives>.XmlSerializer_,1.00,1.00,
MicroBenchmarks.Serializers.Xml_ToStream<CollectionsOfPrimitives>.DataContractSerializer_,1.00,1.00,
BenchmarksGame.BinaryTrees_5.RunBench,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromString<IndexViewModel>.Jil_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromString<IndexViewModel>.JsonNet_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromString<IndexViewModel>.Utf8Json_,1.00,1.00,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.00),1.00,1.00,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.10),1.00,1.00,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.20),1.00,1.00,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.30),1.00,1.00,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.40),1.00,1.00,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.50),1.00,1.00,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.60),1.00,1.00,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.70),1.00,1.00,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.80),1.00,1.00,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.90),1.00,1.00,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 1.00),1.00,1.00,
Benchstone.BenchF.Bisect.Test,1.00,1.00,
PerfLabTests.StackWalk.Walk,1.00,1.00,
Benchstone.BenchF.Regula.Test,1.00,1.00,
BenchmarksGame.ReverseComplement_6.RunBench,1.00,1.00,
BenchmarksGame.NBody_3.RunBench,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromString<LoginViewModel>.Jil_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromString<LoginViewModel>.JsonNet_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromString<LoginViewModel>.Utf8Json_,1.00,1.00,
Layout.SearchLoops.LoopReturn,1.00,1.00,
Layout.SearchLoops.LoopGoto,1.00,1.00,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.00 pD=0.00),1.00,1.00,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.00 pD=0.33),1.00,1.00,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.00 pD=0.67),1.00,1.00,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.00 pD=1.00),1.00,1.00,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.33 pD=0.00),1.00,1.00,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.33 pD=0.33),1.00,1.00,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.33 pD=0.67),1.00,1.00,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.67 pD=0.00),1.00,1.00,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.67 pD=0.33),1.00,1.00,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=1.00 pD=0.00),1.00,1.00,
MicroBenchmarks.Serializers.Binary_ToStream<CollectionsOfPrimitives>.BinaryFormatter_,1.00,1.00,
MicroBenchmarks.Serializers.Binary_ToStream<CollectionsOfPrimitives>.ProtoBuffNet,1.00,1.00,
MicroBenchmarks.Serializers.Binary_ToStream<CollectionsOfPrimitives>.MessagePack_,1.00,1.00,
CscBench.CompileTest,1.00,1.00,
CscBench.DatflowTest,1.00,1.00,
MicroBenchmarks.Serializers.Xml_FromStream<MyEventsListerViewModel>.XmlSerializer_,1.00,1.00,
MicroBenchmarks.Serializers.Xml_FromStream<MyEventsListerViewModel>.DataContractSerializer_,1.00,1.00,
Benchstone.BenchF.Lorenz.Test,1.00,1.00,
