Benchmark,dotnet_core,mono_interpreter,mono_jit
System.Memory.Span<Char>.Clear(Size: 512),1.00,25.37,1.10,
System.Memory.Span<Char>.Fill(Size: 512),1.00,32.71,1.56,
System.Memory.Span<Char>.Reverse(Size: 512),1.00,241.43,2.43,
System.Memory.Span<Char>.ToArray(Size: 512),1.00,43.40,6.87,
System.Memory.Span<Char>.SequenceEqual(Size: 512),1.00,445.79,5.78,
System.Memory.Span<Char>.SequenceCompareTo(Size: 512),1.00,1061.93,4.39,
System.Memory.Span<Char>.StartsWith(Size: 512),1.00,421.96,6.50,
System.Memory.Span<Char>.EndsWith(Size: 512),1.00,406.34,6.36,
System.Memory.Span<Char>.IndexOfValue(Size: 512),1.00,2091.54,6.14,
System.Memory.Span<Char>.IndexOfAnyTwoValues(Size: 512),1.00,149.91,5.01,
System.Memory.Span<Char>.IndexOfAnyThreeValues(Size: 512),1.00,150.99,4.15,
System.Memory.Span<Char>.IndexOfAnyFourValues(Size: 512),1.00,170.06,4.00,
System.Memory.Span<Char>.LastIndexOfValue(Size: 512),1.00,99.27,5.50,
System.Memory.Span<Char>.LastIndexOfAnyValues(Size: 512),1.00,150.68,2.64,
System.Memory.Span<Char>.BinarySearch(Size: 512),1.00,88.89,3.14,
System.Memory.Span<Char>.GetPinnableReference(Size: 512),SMALL,SMALL,SMALL,
System.Memory.ReadOnlySpan.StringAsSpan,SMALL,SMALL,SMALL,
System.Memory.ReadOnlySpan.GetPinnableReference,SMALL,SMALL,SMALL,
System.Memory.ReadOnlySpan.Trim(input: ""),1.00,12.03,0.96,
System.Memory.ReadOnlySpan.Trim(input: " abcdefg "),1.00,46.17,4.28,
System.Memory.ReadOnlySpan.IndexOfString(input: "AAAAA5AAAA"; value: "5"; comparisonType: InvariantC...,1.00,25.66,2.58,
System.Memory.ReadOnlySpan.IndexOfString(input: "AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA...,1.00,1692.37,4.51,
System.Memory.ReadOnlySpan.IndexOfString(input: "AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA...,1.00,51.74,4.52,
System.Memory.ReadOnlySpan.IndexOfString(input: "AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA...,1.00,1.64,1.20,
System.Memory.ReadOnlySpan.IndexOfString(input: "ABCDE"; value: "c"; comparisonType: InvariantCultur...,1.00,19.51,1.92,
System.Memory.ReadOnlySpan.IndexOfString(input: "Hello Worldbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbareallyr...,1.00,5.87,2.40,
